id,Route Designator,Significant point name ,Latitude,Longitude
157,M761,"AGOBA
(WSJC/WBFC FIR BDRY)",1.978,108.5
158,M763,ENREP,4.873,104.245
159,M763,"TAXUL
(WMFC/WSJC FIR BDRY)",3.843,103.677
160,M763,PEKAN DVOR/DME (VPK),3.383,103.423
161,M765,IGARI,6.937,103.585
162,M765,VENLI (WMFC/WSJC FIR BDRY),6.48,102.817
163,M767,TEGID (RPHI/WSJC FIR BDRY),8.949,115.862
164,M767,TODAM,6.527,112.593
165,M767,TERIX,4.256,109.582
166,M767,BOBOB,2.368,107.099
167,M767,TOMAN,1.363,105.788
168,M768,AKMON,8.215,110.218
169,M768,LAGOT,7.276,111.545
170,M768,TODAM,6.527,112.593
171,M768,"ASISU
(WSJC/WBFC FIR BDRY)",5.985,113.346
172,M771,"DUDIS
(WSJC/VVTS FIR BDRY)",7,106.81
173,M771,DOLOX,4.811,105.38
174,M771,DAMOG,4.207,105.004
175,M771,DUBSA,3.817,104.761
176,M771,VISAT,3.439,104.526
177,M771,OTLON,3.131,104.335
178,M771,"RAXIM
(WMFC/WSJC FIR BDRY)",3.055,104.287
179,M771,MERSING DVOR/DME (VMR),2.388,103.872
180,M772,"LAXOR
(WSJC/RPHI FIR BDRY)",9.827,114.808
181,M772,BIDAG,7.517,113.929
182,M772,"ASISU
(WBFC/WSJC FIR BDRY)",5.985,113.346
183,M774,TANJUNG PINANG VOR/DME (TPG),0.904,104.514
184,M774,OBDOS,0.418,106.931
185,M774,"KADAR
(WSJC/WIIZ FIR BDRY)",-0.113,107.728
186,M904,"TIDAR
(WSJC/VTBB FIR BDRY)",6.875,102.833
187,M904,ODONO,6.604,103.025
188,M904,UPRON,6.151,103.344
189,M904,ENREP,4.873,104.245
190,N502,"BOBAG
(R243/24 DME SJ)",1.042,103.498
191,N502,PARDI,-0.567,104.217
192,N875,ENREP,4.873,104.245
193,N875,NOPAT,4.387,104.799
194,N875,DAMOG,4.207,105.004
195,N875,SUSAR,3.98,105.263
196,N875,MUMSO,3.739,105.537
197,N875,ELGOR,3.504,105.805
198,N875,LEBIN,3.244,106.101
199,N875,BOBOB,2.368,107.099
200,N875,ESPIT,2.003,107.44
201,N875,NIMIX,1.414,107.991
202,N875,ARUPA,0.528,108.813
203,N884,"LAXOR
(WSJC/RPHI FIR BDRY)",9.827,114.808
204,N884,LAGOT,7.276,111.545
205,N884,LUSMO,3.561,106.926
206,N884,LEBIN,3.244,106.101
207,N884,"	LIPRO",2.895,105.191
208,N884,"LENDA
(WSJC/WMFC FIR BDRY)",2.69,104.659
209,N884,MERSING DVOR/DME (VMR),2.388,103.872
210,N891,IGARI,6.937,103.585
211,N891,IKUMI,5.894,103.919
212,N891,ENREP,4.873,104.245
213,N891,UGPEK,3.613,104.131
214,N891,URIGO,3.418,104.113
215,N891,"MANIM
(WMFC/WSJC FIR BDRY)",3.242,104.098
216,N891,OBDAB,3.198,104.094
217,N891,PAPA UNIFORM DVOR/DME (PU),1.423,103.933
218,N892,"MELAS
(VVTS/WSJC FIR BDRY)",7.089,108.153
219,N892,MABLI,4.288,106.213
220,N892,MUMSO,3.739,105.537
221,N892,MABAL,3.474,105.21
222,N892,KILOT,3.038,104.673
223,N892,"KIBOL
WSJC/WMFC FIR BDRY",2.875,104.468
224,N892,PEKLA,2.577,104.105
225,N892,MERSING DVOR/DME (VMR),2.388,103.872
226,P501,"ARAMA
(50DME SJ)
(delegated airspace BDRY)",1.615,103.12
227,P501,"ANBUS
(WMFC/WSJC FIR BDRY)",1.266,103.351
228,P501,"BOBAG
(R243/24 DME SJ)",1.042,103.498
229,P501,"	ANITO",-0.283,104.867
230,Q801,ESPOB (VVTS/WSJC FIR BDRY),7,105.555
231,Q801,ESBUM,4.869,104.475
232,Q802,IPRIX (VVTS/WSJC FIR BDRY),7,104.132
233,Q802,ESBUM,4.869,104.475
234,Q802,ELALO,4.211,104.558
235,Q803,UPRON,6.151,103.344
236,Q803,IPDOL,4.853,103.989
237,Q803,KEXOL,4.658,104.162
238,Q803,ELALO,4.211,104.558
239,T611,IPRIX (VVTS/WSJC FIR BDRY),7,104.132
240,T611,IPDOL,4.853,103.989
241,T611,IDSEL (WMFC/WSJC FIR BDRY),3.409,103.929
242,T612,DOLOX,4.811,105.38
243,T612,IDSEL (WMFC/WSJC FIR BDRY),3.409,103.929
244,Y332,"TAXUL
(WSJC/WMFC FIR BDRY)",3.843,103.677
245,Y332,PADLI,3.155,103.526
246,Y333,"BUVAL
(WMFC/WSJC FIR BDRY)",3.606,103.728
247,Y333,PADLI,3.155,103.526
248,Y334,"DOVOL
(WSJC/WMFC FIR BDRY)",3.513,103.823
249,Y334,PADLI,3.155,103.526
250,Y335,"IDSEL
(WMFC/WSJC FIR BDRY)",3.409,103.929
251,Y335,PADLI,3.155,103.526
252,Y336,"KETOD
(WMFC/WSJC FIR BDRY)",3.178,104.162
253,Y336,PADLI,3.155,103.526
254,Y339,"AKOMA
(20 DME PU)",1.756,103.912
255,Y339,AROSO,2.146,103.406
256,Y342,JOHOR BAHRU DVOR/DME (VJB),1.664,103.661
257,Y342,AROSO,2.146,103.406
258,Y514,VIRID,3.291,103.222
259,Y514,NUFFA,2.895,103.642
